"Alexa","Consonant","Dataset","Dictionary","Digits","Entropy"
0.163195,0.708958,"acc062.00_5c9311b9975cda1cb6d42470d7c2ecf9ebec0d1b34a451f9ddf1ada0e5fb96cc.csv",0.323542,0.006042,2.413532
0.19507,0.681458,"acc023.25_d3c7e5172598660fe43a9c0b3116a5450979c460646205e63684c79d2bd6789a.csv",0.397708,0.001875,2.38994
0.226875,0.649583,"acc047.38_b6ebdfcf31d3e28599e4dceee9871c2b7ae8b53f5d7e11db49ee0a7c387eddba.csv",0.550625,0.00125,2.415035
0.035694,0.786666,"acc073.75_643c12cb23445bf726a1db31f6d013eb45557c58bfc0bdf919dd53c3d4e1b527.csv",0.082083,0.106666,2.437189
0.032222,0.684999,"acc089.50_b60fa3768b118ffd5f2d440a2ab2bc4c73f4cd0b3e432b16ddf4f2e6c84b08ed.csv",0.07625,0.201458,2.4438
0.191979,0.68625,"acc022.38_c2eb88a870955fd77819bb7dd75b799cc34545e1a34e8e248d82cf50e3b6b9bf.csv",0.414792,0.001458,2.390671
0.144549,0.708542,"acc052.00_b4bae1f78e446a6e81a0a1daf73f2904d6e65d99526804e07196fed2627224d6.csv",0.428125,0.003125,2.405035
0.226702,0.660833,"acc009.88_e78e612a68038c5e86b54e5ac8894f473a6724032440bdb6d191c8a701d52f10.csv",0.561458,0.001875,2.383107
0.035556,0.538332,"acc092.88_0ea27d82e119b644de6613cea1d93d2f9baac8abe81f01c2f6bef6bae70a36d5.csv",0.081667,0.338332,2.482229
0.20941,0.675208,"acc063.25_c0fd150ded6b353c71d8041a14654fef5f2b63881b7c9feb3fea0f00f6306506.csv",0.465,8.33E-4,2.396496
0.132917,0.76,"acc058.88_a011944bb8ccf6d3e27ad576d60f08ae2e0f2b0b48f5761c3b80610842485c73.csv",0.304792,2.08E-4,2.390404
0.036181,0.662916,"acc089.25_4e80d3192d37740adeabe10ab6ab59cfd61741eb6f34d28939dd4c47e31578bd.csv",0.06,0.168749,2.454634
0.164827,0.711876,"acc016.88_b56d8d47b5db99b4b3fe01a5284c4c85c6bb3607148c3a61b6c48dee10b697b0.csv",0.290209,0.006667,2.392432
0.145486,0.698333,"acc031.75_2740c23d5143ca482bf31f67586eab0d6b514ace74578946442d079af0420fc1.csv",0.377083,6.25E-4,2.364767
0.215972,0.644583,"acc039.12_b6eb8d4b370c3ffd43a27876b817a0dcef6c9574ec299039939e11ed41f25687.csv",0.48875,0.006042,2.370921
